antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'GeogBks', 'CookBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.097,0.282,0.06,0.6185567010309277,2.193463478833077,0.032645999999999994,1.8823243243243237
"frozenset({'ArtBks', 'GeogBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1035,0.282,0.065,0.6280193236714976,2.2270188782677223,0.03581300000000001,1.9302077922077923
"frozenset({'ItalCook', 'CookBks'})",frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
"frozenset({'CookBks', 'RefBks'})",frozenset({'YouthBks'}),0.1525,0.2475,0.0775,0.5081967213114754,2.0533200861069716,0.03975625,1.5300833333333332
"frozenset({'GeogBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.1205,0.282,0.068,0.5643153526970955,2.0011182719755163,0.03401900000000001,1.6479809523809528
"frozenset({'RefBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.0965,0.282,0.058,0.6010362694300518,2.1313342887590494,0.030787000000000005,1.7996623376623377
frozenset({'ItalCook'}),frozenset({'DoItYBks'}),0.1135,0.282,0.0585,0.5154185022026432,1.827725185115756,0.026493000000000003,1.4816909090909092
"frozenset({'ArtBks', 'CookBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.081,0.282,0.0525,0.6481481481481481,2.2983976884686106,0.029658,2.040631578947368
"frozenset({'ArtBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1275,0.423,0.102,0.7999999999999999,1.8912529550827422,0.04806749999999999,2.884999999999999
frozenset({'GeogBks'}),frozenset({'ChildBks'}),0.276,0.423,0.195,0.7065217391304347,1.6702641587007914,0.078252,1.9660740740740734
"frozenset({'ArtBks', 'CookBks'})",frozenset({'DoItYBks'}),0.167,0.282,0.1015,0.6077844311377245,2.155263940204697,0.05440600000000001,1.830625954198473
"frozenset({'GeogBks', 'RefBks'})",frozenset({'DoItYBks'}),0.1105,0.282,0.0585,0.5294117647058824,1.877346683354193,0.027339000000000006,1.52575
"frozenset({'ChildBks', 'GeogBks', 'RefBks'})",frozenset({'DoItYBks'}),0.094,0.282,0.0525,0.5585106382978723,1.9805341783612493,0.025992,1.6263132530120479
"frozenset({'GeogBks', 'RefBks'})",frozenset({'YouthBks'}),0.1105,0.2475,0.057,0.5158371040723982,2.0841903194844376,0.02965125,1.5542289719626168
"frozenset({'GeogBks', 'ChildBks'})",frozenset({'DoItYBks'}),0.195,0.282,0.1045,0.5358974358974359,1.900345517366794,0.04951,1.5470718232044198
frozenset({'CookBks'}),frozenset({'DoItYBks'}),0.431,0.282,0.1875,0.43503480278422274,1.5426766056178114,0.06595800000000002,1.2708747433264889
"frozenset({'ArtBks', 'GeogBks'})",frozenset({'CookBks'}),0.1275,0.431,0.1035,0.8117647058823528,1.883444793230517,0.04854749999999999,3.022812499999998
"frozenset({'CookBks', 'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.129,0.282,0.082,0.6356589147286822,2.254109626697455,0.045622,1.9706808510638298
frozenset({'RefBks'}),frozenset({'ChildBks'}),0.2145,0.423,0.1515,0.7062937062937062,1.669725073980393,0.0607665,1.9645476190476185
"frozenset({'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.165,0.282,0.095,0.5757575757575757,2.041693531055233,0.048470000000000006,1.6924285714285712
"frozenset({'GeogBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1925,0.282,0.1085,0.5636363636363636,1.9987105093488073,0.054215000000000006,1.6454166666666665
frozenset({'ItalCook'}),frozenset({'GeogBks'}),0.1135,0.276,0.064,0.5638766519823788,2.0430313477622417,0.032673999999999995,1.6600808080808078
"frozenset({'ArtBks', 'ChildBks'})",frozenset({'DoItYBks'}),0.1625,0.282,0.095,0.5846153846153846,2.0731042007637757,0.049175,1.7285185185185186
"frozenset({'ChildBks', 'CookBks', 'RefBks'})",frozenset({'DoItYBks'}),0.1225,0.282,0.0745,0.6081632653061224,2.1566073237805763,0.039955,1.832395833333333
frozenset({'ChildBks'}),frozenset({'DoItYBks'}),0.423,0.282,0.184,0.43498817966903075,1.542511275422095,0.06471400000000001,1.2707698744769873
"frozenset({'GeogBks', 'RefBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
frozenset({'GeogBks'}),frozenset({'CookBks'}),0.276,0.431,0.1925,0.697463768115942,1.6182454016611183,0.073544,1.880766467065868
"frozenset({'ArtBks', 'CookBks'})",frozenset({'YouthBks'}),0.167,0.2475,0.081,0.48502994011976047,1.95971692977681,0.0396675,1.4612499999999997
frozenset({'ArtBks'}),frozenset({'ItalCook'}),0.241,0.1135,0.0565,0.2344398340248963,2.065549198457236,0.029146500000000002,1.1579756097560976
"frozenset({'ChildBks', 'RefBks'})",frozenset({'DoItYBks'}),0.1515,0.282,0.09,0.594059405940594,2.106593638087213,0.047277,1.768731707317073
"frozenset({'GeogBks', 'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.099,0.282,0.0565,0.5707070707070707,2.023783938677556,0.028582000000000003,1.6725176470588234
"frozenset({'ChildBks', 'RefBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.083,0.282,0.053,0.6385542168674698,2.264376655558404,0.029594,1.9864666666666664
