antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'tropical fruit'}),frozenset({'newspapers'}),0.10493136756481952,0.07981698017285206,0.01179461108286731,0.11240310077519379,1.4082605046166,0.0034193061984358585,1.036712747228839
frozenset({'root vegetables'}),frozenset({'beef'}),0.10899847483477376,0.05246568378240976,0.017386883579054397,0.15951492537313433,3.0403668431100312,0.011668204065608208,1.127366023291073
"frozenset({'fruit/vegetable juice', 'whole milk'})",frozenset({'other vegetables'}),0.026639552618200304,0.1934926283680732,0.01047280122013218,0.3931297709923664,2.0317558054177214,0.005318244165487017,1.3289618325004078
frozenset({'yogurt'}),frozenset({'citrus fruit'}),0.13950177935943062,0.08276563294356888,0.021657346212506354,0.15524781341107868,1.875752143609286,0.010111393147068985,1.0858028918045068
frozenset({'pastry'}),frozenset({'domestic eggs'}),0.08896797153024912,0.06344687341128623,0.009049313675648195,0.1017142857142857,1.6031410256410252,0.0034045740483095626,1.042600490795324
frozenset({'fruit/vegetable juice'}),frozenset({'pastry'}),0.0722928317234367,0.08896797153024912,0.008540925266903915,0.11814345991561183,1.3279324894514768,0.002109178672292109,1.033084166255172
"frozenset({'root vegetables', 'soda'})",frozenset({'whole milk'}),0.01860701576004067,0.25551601423487547,0.00813421453990849,0.43715846994535523,1.710884819702574,0.0033798240360973864,1.3227239747089106
frozenset({'other vegetables'}),frozenset({'butter'}),0.1934926283680732,0.05541433655312659,0.020030503304524657,0.10352075669994745,1.868122279163272,0.0093082376755872,1.0536614991438453
frozenset({'whole milk'}),frozenset({'sausage'}),0.25551601423487547,0.09395017793594305,0.0298932384341637,0.11699164345403898,1.2452519625221574,0.005887463431314192,1.026094277984216
"frozenset({'tropical fruit', 'whipped/sour cream'})",frozenset({'other vegetables'}),0.013828164717844434,0.1934926283680732,0.007829181494661922,0.5661764705882353,2.926088065283917,0.005153533557899547,1.8590678396939329
frozenset({'whole milk'}),frozenset({'oil'}),0.25551601423487547,0.02806304016268429,0.01128622267412303,0.04417031436530044,1.57396754269105,0.004115666504440709,1.0168516153501974
frozenset({'root vegetables'}),frozenset({'bottled beer'}),0.10899847483477376,0.08052872394509406,0.009659379766141332,0.08861940298507463,1.100469480250264,0.0008818716757355537,1.0088773878514423
"frozenset({'tropical fruit', 'whole milk'})",frozenset({'rolls/buns'}),0.04229791560752415,0.18393492628368074,0.010981189628876462,0.25961538461538464,1.4114523536165327,0.0032011256396531585,1.102217761902561
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.10899847483477376,0.1934926283680732,0.047381799694966954,0.43470149253731344,2.2466049285887952,0.026291398311075295,1.4266929082333752
frozenset({'beef'}),frozenset({'citrus fruit'}),0.05246568378240976,0.08276563294356888,0.008439247585155059,0.16085271317829458,1.9434722777746036,0.0040968920590867776,1.0930552734436916
frozenset({'pip fruit'}),frozenset({'citrus fruit'}),0.07564819522114896,0.08276563294356888,0.013828164717844434,0.1827956989247312,2.208594224723257,0.0075670939593273775,1.122405212319054
frozenset({'curd'}),frozenset({'tropical fruit'}),0.05327910523640061,0.10493136756481952,0.010269445856634469,0.19274809160305345,1.836896783833363,0.004678796481549016,1.108784783442162
frozenset({'canned beer'}),frozenset({'shopping bags'}),0.07768174885612608,0.09852567361464158,0.011387900355871887,0.14659685863874347,1.487905164821509,0.003734253722258651,1.0563288118994079
"frozenset({'tropical fruit', 'whole milk', 'other vegetables'})",frozenset({'yogurt'}),0.01708185053380783,0.13950177935943062,0.007625826131164209,0.4464285714285714,3.200163994169096,0.005242877586946177,1.5544483985765123
frozenset({'whole milk'}),frozenset({'chocolate'}),0.25551601423487547,0.04961870869344179,0.016675139806812404,0.06526064464783127,1.3152427051463536,0.003996765129982793,1.0167340081112732
frozenset({'root vegetables'}),frozenset({'tropical fruit'}),0.10899847483477376,0.10493136756481952,0.021047280122013217,0.19309701492537312,1.8402220366192292,0.00960992109512084,1.1092642473647554
"frozenset({'whole milk', 'newspapers'})",frozenset({'rolls/buns'}),0.027351296390442297,0.18393492628368074,0.007625826131164209,0.2788104089219331,1.5158100451891718,0.0025949674458251018,1.131554148606649
frozenset({'root vegetables'}),frozenset({'brown bread'}),0.10899847483477376,0.06487036095577021,0.010167768174885612,0.09328358208955223,1.4380000467880032,0.0030969977687254017,1.0313363920323193
"frozenset({'whole milk', 'other vegetables'})",frozenset({'pip fruit'}),0.07483477376715811,0.07564819522114896,0.013523131672597865,0.18070652173913043,2.3887750555165965,0.007862016097329371,1.128230395219294
frozenset({'frankfurter'}),frozenset({'rolls/buns'}),0.058973055414336555,0.18393492628368074,0.019217081850533807,0.3258620689655172,1.7716160576428202,0.008369877250174393,1.2105313113950515
"frozenset({'whipped/sour cream', 'other vegetables'})",frozenset({'yogurt'}),0.02887646161667514,0.13950177935943062,0.010167768174885612,0.352112676056338,2.524073009485484,0.0061394503977551295,1.3281602970756614
