master_order_id,dist_names,retailer_names,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,R_Rank,F_Rank,M_Rank,RFM_Score,Clust,Customer_Segment
25651,DistName7,RetailerID87,350,6,856.72,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25652,DistName6,RetailerID77,349,4,497.52,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25653,DistName9,RetailerID94,349,14,1475.12,1,5,3,20.0,100.0,60.0,3.26,4,Medium Value Customers
25654,DistName3,RetailerID56,349,6,440.81,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25655,DistName6,RetailerID68,349,7,1082.97,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25656,DistName3,RetailerID8,349,1,91.53,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25657,DistName3,RetailerID91,347,4,563.37,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25658,DistName9,RetailerID81,347,3,557.07,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25659,DistName1,RetailerID79,347,4,580.31,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25661,DistName4,RetailerID94,346,12,2671.84,1,4,1,20.0,80.0,20.0,1.84,3,Lost Customers
25662,DistName3,RetailerID8,346,6,753.45,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25666,DistName8,RetailerID94,342,8,704.18,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25667,DistName3,RetailerID60,342,1,2073.15,1,1,2,20.0,20.0,40.0,1.57,3,Lost Customers
25669,DistName3,RetailerID60,341,1,138.21,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25670,DistName3,RetailerID60,341,1,138.21,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25671,DistName3,RetailerID60,339,1,1382.1,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25672,DistName3,RetailerID44,339,1,198.3,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25673,DistName3,RetailerID90,339,1,607.1,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25674,DistName1,RetailerID141,339,1,75.93,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25675,DistName1,RetailerID13,305,1,33.71,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25676,DistName3,RetailerID67,305,1,77.86,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25677,DistName8,RetailerID90,277,5,3680.2,2,2,1,40.0,40.0,20.0,1.43,1,Lost Customers
25678,DistName8,RetailerID9,277,4,458.74,2,2,5,40.0,40.0,100.0,3.71,4,Medium Value Customers
25679,DistName4,RetailerID8,277,6,7099.37,2,3,1,40.0,60.0,20.0,1.71,2,Lost Customers
25680,DistName1,RetailerID20,246,1,289.3,4,1,5,80.0,20.0,100.0,3.73,4,Medium Value Customers
25683,DistName8,RetailerID9,315,16,7901.36,1,5,1,20.0,100.0,20.0,2.12,2,Low Value Customers
25684,DistName5,RetailerID91,314,11,877.53,1,4,4,20.0,80.0,80.0,3.55,4,Medium Value Customers
25685,DistName9,RetailerID81,314,6,1063.91,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25686,DistName3,RetailerID58,314,4,1473.28,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25687,DistName3,RetailerID164,314,5,694.49,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25688,DistName3,RetailerID79,314,10,2492.79,1,4,2,20.0,80.0,40.0,2.41,3,Low Value Customers
25689,DistName2,RetailerID56,314,3,864.21,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25690,DistName3,RetailerID51,313,6,2194.92,1,3,2,20.0,60.0,40.0,2.13,3,Low Value Customers
25691,DistName7,RetailerID52,313,3,845.0,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25692,DistName8,RetailerID95,313,7,4578.9,1,3,1,20.0,60.0,20.0,1.56,1,Lost Customers
25693,DistName1,RetailerID13,313,1,696.45,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25694,DistName3,RetailerID95,313,5,4319.31,1,2,1,20.0,40.0,20.0,1.28,1,Lost Customers
25695,DistName7,RetailerID94,313,5,915.7,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25696,DistName3,RetailerID34,313,4,416.55,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25697,DistName3,RetailerID219,313,4,1238.23,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25698,DistName3,RetailerID79,313,3,531.03,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25699,DistName3,RetailerID74,313,4,418.05,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25700,DistName3,RetailerID8,313,8,359.94,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25701,DistName8,RetailerID95,313,15,2486.5,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25702,DistName8,RetailerID9,313,8,763.46,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25703,DistName3,RetailerID79,313,6,662.52,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25704,DistName7,RetailerID81,313,4,1304.97,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25705,DistName7,RetailerID79,313,5,891.82,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25706,DistName3,RetailerID79,313,3,804.3,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25707,DistName3,RetailerID8,312,1,2000.0,1,1,2,20.0,20.0,40.0,1.57,4,Lost Customers
25709,DistName4,RetailerID95,312,11,839.66,1,4,4,20.0,80.0,80.0,3.55,4,Medium Value Customers
25710,DistName4,RetailerID94,312,3,556.73,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25711,DistName8,RetailerID9,312,5,706.4,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25712,DistName9,RetailerID91,312,6,659.57,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25713,DistName3,RetailerID34,312,3,4360.0,1,1,1,20.0,20.0,20.0,1.0,1,Lost Customers
25714,DistName3,RetailerID68,312,4,664.32,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25715,DistName6,RetailerID98,312,24,3338.3,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25716,DistName3,RetailerID95,312,7,646.01,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25717,DistName4,RetailerID58,312,6,932.42,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25718,DistName3,RetailerID87,312,15,3509.46,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25719,DistName3,RetailerID56,312,6,996.45,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25720,DistName7,RetailerID98,312,6,576.44,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25721,DistName3,RetailerID91,312,4,598.6,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25722,DistName6,RetailerID63,312,3,363.24,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25724,DistName6,RetailerID8,312,5,713.45,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25725,DistName4,RetailerID98,312,30,5480.86,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25726,DistName3,RetailerID51,312,4,2255.25,1,2,2,20.0,40.0,40.0,1.85,3,Lost Customers
25727,DistName3,RetailerID67,312,3,1319.9,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25729,DistName3,RetailerID17,312,3,281.39,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25730,DistName7,RetailerID35,312,4,711.85,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25731,DistName7,RetailerID61,312,4,1242.09,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25732,DistName8,RetailerID9,312,17,3290.44,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25733,DistName5,RetailerID90,312,11,1324.97,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25734,DistName3,RetailerID37,312,4,479.98,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25735,DistName3,RetailerID70,312,5,1081.81,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25736,DistName3,RetailerID200,312,2,1668.83,1,1,2,20.0,20.0,40.0,1.57,4,Lost Customers
25737,DistName3,RetailerID56,312,3,743.99,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25738,DistName6,RetailerID95,312,4,223.14,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25739,DistName3,RetailerID8,310,13,2719.77,1,5,1,20.0,100.0,20.0,2.12,3,Low Value Customers
25740,DistName6,RetailerID132,310,1,1107.0,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25742,DistName3,RetailerID37,310,2,687.92,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25743,DistName6,RetailerID77,310,10,2200.0,1,4,2,20.0,80.0,40.0,2.41,3,Low Value Customers
25744,DistName3,RetailerID36,310,3,1184.29,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25745,DistName3,RetailerID87,310,10,1053.39,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25746,DistName3,RetailerID21,310,5,1441.68,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25747,DistName4,RetailerID74,310,5,573.74,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25748,DistName6,RetailerID98,310,12,2723.13,1,4,1,20.0,80.0,20.0,1.84,3,Lost Customers
25749,DistName1,RetailerID115,310,1,872.0,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25750,DistName3,RetailerID195,310,2,635.92,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25751,DistName4,RetailerID90,310,6,670.84,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25752,DistName3,RetailerID67,310,6,2745.58,1,3,1,20.0,60.0,20.0,1.56,3,Lost Customers
25753,DistName5,RetailerID95,308,18,1483.81,1,5,3,20.0,100.0,60.0,3.26,4,Medium Value Customers
25754,DistName5,RetailerID98,308,12,1650.18,1,4,2,20.0,80.0,40.0,2.41,4,Low Value Customers
25755,DistName7,RetailerID85,308,6,1803.83,1,3,2,20.0,60.0,40.0,2.13,4,Low Value Customers
25756,DistName3,RetailerID74,308,7,2385.07,1,3,2,20.0,60.0,40.0,2.13,3,Low Value Customers
25757,DistName9,RetailerID94,308,29,3655.97,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25758,DistName6,RetailerID94,308,7,1120.93,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25759,DistName4,RetailerID8,308,9,430.02,1,4,5,20.0,80.0,100.0,4.12,4,High Value Customers
25760,DistName3,RetailerID35,308,3,676.27,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25761,DistName6,RetailerID87,308,15,5070.14,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25762,DistName3,RetailerID95,308,7,909.97,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25763,DistName3,RetailerID8,308,4,454.59,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25765,DistName6,RetailerID9,308,13,1295.27,1,5,3,20.0,100.0,60.0,3.26,4,Medium Value Customers
25766,DistName6,RetailerID77,308,5,411.18,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25767,DistName5,RetailerID35,308,6,558.87,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25768,DistName6,RetailerID90,308,6,949.71,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25769,DistName7,RetailerID90,308,8,2104.45,1,3,2,20.0,60.0,40.0,2.13,3,Low Value Customers
25770,DistName3,RetailerID8,308,2,1251.06,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25771,DistName3,RetailerID79,308,4,207.31,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25772,DistName7,RetailerID8,308,20,7001.56,1,5,1,20.0,100.0,20.0,2.12,2,Low Value Customers
25773,DistName8,RetailerID95,308,18,3403.97,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25774,DistName3,RetailerID56,308,7,907.09,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25775,DistName6,RetailerID79,308,13,2143.42,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25776,DistName5,RetailerID51,308,4,607.83,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25777,DistName3,RetailerID90,308,1,348.36,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25778,DistName7,RetailerID9,308,30,6128.15,1,5,1,20.0,100.0,20.0,2.12,2,Low Value Customers
25779,DistName3,RetailerID79,308,8,1409.8,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25780,DistName4,RetailerID94,308,6,525.86,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25781,DistName10,RetailerID97,308,4,339.71,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25782,DistName7,RetailerID95,307,15,2282.97,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25784,DistName3,RetailerID77,307,5,715.1,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25786,DistName7,RetailerID91,307,8,1570.44,1,3,2,20.0,60.0,40.0,2.13,4,Low Value Customers
25787,DistName7,RetailerID79,307,5,1338.65,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25788,DistName6,RetailerID94,307,6,979.75,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25789,DistName7,RetailerID90,307,22,3881.36,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25790,DistName3,RetailerID56,307,5,514.55,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25792,DistName6,RetailerID86,307,8,1834.78,1,3,2,20.0,60.0,40.0,2.13,4,Low Value Customers
25793,DistName3,RetailerID79,307,6,835.78,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25794,DistName3,RetailerID95,307,5,6739.38,1,2,1,20.0,40.0,20.0,1.28,2,Lost Customers
25795,DistName7,RetailerID94,307,4,1078.54,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25796,DistName6,RetailerID95,307,24,7100.95,1,5,1,20.0,100.0,20.0,2.12,2,Low Value Customers
25797,DistName8,RetailerID9,307,3,711.44,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25798,DistName6,RetailerID9,307,4,2093.06,1,2,2,20.0,40.0,40.0,1.85,3,Lost Customers
25799,DistName7,RetailerID35,307,3,464.08,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25800,DistName3,RetailerID91,307,12,1668.41,1,4,2,20.0,80.0,40.0,2.41,4,Low Value Customers
25801,DistName3,RetailerID95,307,9,1175.35,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25802,DistName3,RetailerID44,307,2,1137.58,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25803,DistName1,RetailerID16,307,2,551.76,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25804,DistName3,RetailerID31,307,7,1716.05,1,3,2,20.0,60.0,40.0,2.13,4,Low Value Customers
25805,DistName9,RetailerID81,307,12,1049.61,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25806,DistName3,RetailerID8,307,7,1348.36,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25807,DistName3,RetailerID91,307,5,439.54,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25808,DistName4,RetailerID94,307,5,563.07,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
